Strain ID;Systematic gene name;Allele/Gene name;Single mutant fitness (26°);Single mutant fitness (26°) stddev;Single mutant fitness (30°);Single mutant fitness (30°) stddev;;;;;
YBL019W_sn1264;YBL019W;apn2;1,039;0,0435;1,039;0,0435;;;;;
YBL020W_damp187;YBL020W;rft1_damp;0,949;0,0228;0,949;0,0228;;;;;
YBL020W_tsq2552;YBL020W;rft1-5028;NaN;NaN;NaN;NaN;;;;;
YBL021C_dma117;YBL021C;hap3;0,8702;0,0352;0,8702;0,0352;;;;;
YBL021C_sn2127;YBL021C;hap3;0,8702;0,0352;0,8702;0,0352;;;;;
YBL022C_sn4155;YBL022C;pim1;0,333;0,0721;0,333;0,0721;;;;;
YBL023C_damp188;YBL023C;mcm2_damp;1,012;0,0182;1,012;0,0182;;;;;
YBL023C_tsa111;YBL023C;mcm2-1;0,9817;0,0672;0,9254;0,0774;;;;;
YBL023C_tsq111;YBL023C;mcm2-1;0,9817;0,0672;0,9254;0,0774;;;;;
YBL024W_dma116;YBL024W;ncl1;1,0082;0,0479;1,0082;0,0479;;;;;
YBL024W_sn4219;YBL024W;ncl1;1,0082;0,0479;1,0082;0,0479;;;;;
YBL026W_tsa1065;YBL026W;lsm2-5001;0,9919;0,038;0,9408;0,1157;;;;;
YBL026W_tsq1294;YBL026W;lsm2-5001;0,9919;0,038;0,9408;0,1157;;;;;
YBL027W_dma114;YBL027W;rpl19b;0,788;0,025;0,788;0,025;;;;;
YBL028C_dma113;YBL028C;ybl028c;1,0368;0,0677;1,0368;0,0677;;;;;
YBL028C_sn662;YBL028C;ybl028c;1,0368;0,0677;1,0368;0,0677;;;;;
YBL029C-A_sn3097;YBL029C-A;ybl029c-a;1,04;0,0357;1,04;0,0357;;;;;
YBL029W_dma112;YBL029W;ybl029w;1,0488;0,0494;1,0488;0,0494;;;;;
YBL031W_dma111;YBL031W;she1;0,896;0,1352;0,896;0,1352;;;;;
YBL031W_sn1113;YBL031W;she1;0,896;0,1352;0,896;0,1352;;;;;
YBL032W_dma110;YBL032W;hek2;1,0455;0,0324;1,0455;0,0324;;;;;
YBL032W_sn1649;YBL032W;hek2;1,0455;0,0324;1,0455;0,0324;;;;;
YBL034C_tsa274;YBL034C;stu1-5;0,9877;0,1597;0,8925;0,2112;;;;;
YBL034C_tsa454;YBL034C;stu1-8;0,9843;0,1012;0,7988;0,0826;;;;;
YBL034C_tsa643;YBL034C;stu1-6;0,9304;0,0832;0,7683;0,0923;;;;;
YBL034C_tsa822;YBL034C;stu1-12;0,9648;0,062;0,9003;0,0469;;;;;
YBL034C_tsa950;YBL034C;stu1-7;0,8628;0,1767;0,669;0,3027;;;;;
YBL034C_tsq274;YBL034C;stu1-5;0,9877;0,1597;0,8925;0,2112;;;;;
YBL034C_tsq454;YBL034C;stu1-8;0,9843;0,1012;0,7988;0,0826;;;;;
YBL034C_tsq643;YBL034C;stu1-6;0,9304;0,0832;0,7683;0,0923;;;;;
YBL034C_tsq822;YBL034C;stu1-12;0,9648;0,062;0,9003;0,0469;;;;;
YBL034C_tsq953;YBL034C;stu1-7;0,8628;0,1767;0,669;0,3027;;;;;
YBL035C_damp191;YBL035C;pol12_damp;1,0235;0,0148;1,0235;0,0148;;;;;
YBL035C_tsa365;YBL035C;pol12-ts;0,7495;0,1013;0,6586;0,1294;;;;;
YBL035C_tsq365;YBL035C;pol12-ts;0,7495;0,1013;0,6586;0,1294;;;;;
YBL036C_dma132;YBL036C;ybl036c;0,975;0,0132;0,975;0,0132;;;;;
YBL037W_dma131;YBL037W;apl3;1,0055;0,0696;1,0055;0,0696;;;;;
YBL037W_sn524;YBL037W;apl3;1,0055;0,0696;1,0055;0,0696;;;;;
YBL038W_damp1149;YBL038W;mrpl16_damp;0,924;0,0345;0,924;0,0345;;;;;
YBL039C_dma130;YBL039C;ura7;0,9788;0,0859;0,9788;0,0859;;;;;
YBL039C_sn4425;YBL039C;ura7;0,9788;0,0859;0,9788;0,0859;;;;;
YBL039W-B_sn4634;YBL039W-B;ybl039w-b;1,017;0,0121;1,017;0,0121;;;;;
YBL040C_damp192;YBL040C;erd2_damp;0,679;0,0719;0,679;0,0719;;;;;
YBL040C_tsa1072;YBL040C;erd2-5001;0,786;0,0207;0,6953;0,0096;;;;;
YBL041W_damp193;YBL041W;pre7_damp;0,8845;0,0484;0,8845;0,0484;;;;;
YBL041W_tsa1064;YBL041W;pre7-5001;0,8625;0,1483;0,8102;0,2105;;;;;
