gene_name	number_of_transposon_per_gene	number_of_read_pergene
MRPL10 	9 	242 	
WSC2 	22 	713 	
POP3 	6 	135 	
HCH1 	8 	137 	
ERG24 	1 	0 	
PRM1 	49 	4074 	
CAF120 	122 	11670 	
YNL277W-A 	13 	1346 	
MET2 	30 	1264 	
YNL276C 	12 	364 	
BOR1 	20 	528 	
GOR1 	12 	355 	
TOF1 	13 	343 	
SEC2 	12 	301 	
BNI1 	22 	426 	
ALP1 	26 	1637 	
BSC4 	23 	1343 	
LYP1 	28 	1603 	
PIK1 	1 	0 	
YNL266W 	9 	215 	
IST1 	13 	477 	
PDR17 	23 	1341 	
YIF1 	6 	56 	
POL2 	8 	305 	
ORC5 	3 	3 	
LTO1 	5 	54 	
ATX1 	4 	31 	
DSL1 	4 	42 	
SIP3 	54 	1639 	
FOL1 	2 	193 	
GIS2 	6 	406 	
RTC4 	11 	123 	
TEX1 	28 	531 	
MRPL17 	10 	260 	
NRD1 	6 	29 	
RAD50 	10 	210 	
MPA43 	22 	496 	
RPA49 	7 	65 	
YNL247W 	0 	0 	
VPS75 	18 	718 	
CWC25 	2 	3 	
SUI1 	0 	0 	
SLA2 	11 	371 	
ATG2 	35 	1432 	
ZWF1 	25 	970 	
NAR1 	13 	559 	
LAP3 	29 	2161 	
KEX2 	31 	1159 	
YTP1 	25 	1714 	
SIN4 	8 	24 	
YNL235C 	10 	162 	
YNL234W 	23 	1164 	
BNI4 	31 	694 	
CSL4 	11 	154 	
PDR16 	48 	4724 	
ELA1 	44 	1807 	
URE2 	7 	107 	
YNL228W 	19 	554 	
JJJ1 	27 	730 	
YNL226W 	12 	214 	
CNM67 	3 	71 	
SQS1 	26 	1132 	
ATG4 	21 	650 	
SSU72 	0 	0 	
POP1 	1 	0 	
ADE12 	0 	0 	
ALG9 	16 	616 	
MGS1 	20 	785 	
YNL217W 	26 	1436 	
RAP1 	3 	4 	
IES2 	10 	239 	
PEX17 	5 	68 	
RRG9 	10 	193 	
VID27 	13 	126 	
YNL211C 	4 	195 	
MER1 	8 	47 	
SSB2 	10 	302 	
YNL208W 	17 	321 	
RIO2 	5 	44 	
RTT106 	39 	1323 	
YNL205C 	10 	232 	
SPS18 	7 	104 	
YNL203C 	20 	512 	
SPS19 	32 	2415 	
PSY2 	21 	498 	
YNL200C 	14 	694 	
GCR2 	14 	688 	
YNL198C 	10 	262 	
WHI3 	11 	155 	
SLZ1 	9 	284 	
YNL195C 	13 	699 	
YNL194C 	10 	654 	
YNL193W 	31 	750 	
CHS1 	16 	442 	
DUG3 	38 	2672 	
YNL190W 	6 	119 	
SRP1 	0 	0 	
KAR1 	3 	20 	
SWT21 	17 	653 	
UBP10 	37 	1399 	
MRPL19 	9 	213 	
YNL184C 	13 	125 	
NPR1 	25 	1002 	
IPI3 	4 	129 	
YNL181W 	2 	4 	
RHO5 	8 	172 	
YNL179C 	24 	330 	
RPS3 	0 	0 	
MRPL22 	4 	58 	
TDA7 	34 	851 	
NOP13 	23 	1267 	
YNL174W 	7 	50 	
MDG1 	20 	617 	
APC1 	4 	187 	
YNL171C 	1 	0 	
YNL170W 	4 	4 	
PSD1 	17 	881 	
FMP41 	19 	1152 	
SKO1 	15 	672 	
BNI5 	16 	477 	
YNL165W 	25 	1566 	
IBD2 	17 	165 	
RIA1 	5 	67 	
YNL162W-A 	3 	2 	
RPL42A 	7 	214 	
CBK1 	9 	87 	
YGP1 	14 	217 	
ASI2 	9 	151 	
PGA1 	1 	0 	
IGO1 	6 	37 	
NSG2 	12 	343 	
CUZ1 	11 	593 	
YCK2 	23 	930 	
GIM3 	9 	466 	
INN1 	8 	69 	
RPC31 	1 	0 	
YNL150W 	4 	31 	
PGA2 	1 	0 	
ALF1 	56 	9974 	
LSM7 	2 	3 	
YNL146C-A 	11 	583 	
YNL146W 	5 	118 	
MFA2 	4 	135 	
YNL144C 	25 	1317 	
YNL144W-A 	0 	0 	
YNL143C 	12 	710 	
MEP2 	26 	1895 	
AAH1 	21 	943 	
YNL140C 	11 	510 	
THO2 	21 	588 	
YSF3 	2 	37 	
SRV2 	8 	58 	
NAM9 	31 	1004 	
EAF7 	29 	1300 	
FPR1 	11 	27 	
YNL134C 	18 	267 	
FYV6 	14 	112 	
KRE33 	4 	12 	
TOM22 	2 	27 	
CPT1 	11 	287 	
DGR1 	7 	241 	
NRK1 	20 	594 	
TEP1 	22 	697 	
FAR11 	25 	510 	
SPC98 	5 	36 	
ESBP6 	31 	2008 	
NAF1 	9 	429 	
NMA111 	49 	2009 	
YNL122C 	7 	225 	
TOM70 	20 	574 	
YNL120C 	7 	180 	
NCS2 	21 	925 	
DCP2 	15 	290 	
MLS1 	51 	2925 	
DMA2 	24 	779 	
YNL115C 	25 	650 	
YNL114C 	3 	2 	
RPC19 	3 	9 	
DBP2 	23 	798 	
CYB5 	2 	7 	
NOP15 	0 	0 	
YNL109W 	5 	158 	
YNL108C 	14 	1238 	
YAF9 	13 	280 	
INP52 	86 	4915 	
RRT16 	7 	198 	
LEU4 	40 	2806 	
YNL103W-A 	0 	0 	
MET4 	17 	495 	
POL1 	11 	400 	
AVT4 	19 	326 	
MIC27 	12 	307 	
OCA1 	21 	900 	
RAS2 	3 	20 	
YNL097C-B 	11 	790 	
PHO23 	24 	2059 	
YNL097W-A 	5 	141 	
RPS7B 	12 	386 	
YNL095C 	29 	633 	
APP1 	31 	1528 	
YPT53 	9 	21 	
YNL092W 	49 	3931 	
NST1 	42 	1427 	
RHO2 	2 	1 	
YNL089C 	2 	1 	
TOP2 	7 	389 	
TCB2 	101 	6150 	
SNN1 	4 	47 	
MKT1 	29 	614 	
END3 	4 	56 	
SAL1 	28 	1284 	
PMS1 	36 	1317 	
SWS2 	5 	9 	
EOS1 	6 	260 	
TPM1 	6 	128 	
NIS1 	38 	1853 	
APJ1 	31 	1498 	
MKS1 	14 	384 	
IMP4 	0 	0 	
MLF3 	31 	2565 	
MSK1 	19 	468 	
RNH201 	45 	3454 	
LAT1 	22 	705 	
TOM7 	5 	417 	
RPL16B 	3 	4 	
FKH2 	52 	1345 	
YNL067W-A 	14 	545 	
YNL067W-B 	8 	528 	
RPL9B 	14 	404 	
SUN4 	73 	6111 	
AQR1 	50 	2317 	
YDJ1 	7 	185 	
MTQ1 	34 	1386 	
GCD10 	11 	1464 	
NOP2 	3 	32 	
ARP5 	10 	242 	
YNL058C 	19 	458 	
YNL057W 	3 	4 	
OCA2 	15 	271 	
POR1 	12 	236 	
VAC7 	31 	458 	
MSG5 	64 	4196 	
COX5A 	14 	1083 	
COG5 	32 	1125 	
YNL050C 	23 	690 	
SFB2 	41 	1211 	
ALG11 	1 	0 	
SLM2 	41 	1898 	
YNL046W 	35 	2664 	
LAP2 	46 	2644 	
YIP3 	19 	332 	
YNL043C 	9 	194 	
YNL042W-B 	18 	2337 	
BOP3 	54 	4839 	
COG6 	45 	2318 	
YNL040W 	45 	2058 	
BDP1 	19 	413 	
GPI15 	4 	26 	
IDH1 	34 	1280 	
NCE103 	3 	11 	
YNL035C 	54 	4058 	
YNL034W 	59 	2508 	
YNL033W 	2 	4 	
SIW14 	35 	2152 	
HHT2 	13 	465 	
HHF2 	10 	242 	
KTR5 	88 	5013 	
YNL028W 	20 	2200 	
CRZ1 	60 	3742 	
SAM50 	0 	0 	
SSN8 	16 	193 	
KSH1 	2 	1 	
YNL024C 	49 	5184 	
FAP1 	92 	6300 	
RCM1 	49 	2440 	
HDA1 	78 	4257 	
ARK1 	100 	7879 	
YNL019C 	3 	18 	
YNL018C 	80 	3522 	
YNL017C 	24 	6174 	
PUB1 	46 	2985 	
PBI2 	4 	15 	
HEF3 	82 	4967 	
YNL013C 	4 	12 	
SPO1 	117 	8678 	
YNL011C 	75 	4046 	
YNL010W 	50 	14408 	
IDP3 	86 	8989 	
ASI3 	144 	8724 	
SIS1 	4 	7 	
LST8 	1 	0 	
MRP7 	85 	3905 	
HRB1 	115 	51466 	
PET8 	85 	8929 	
RLP7 	6 	239 	
DOM34 	91 	10419 	
CIT1 	143 	22640 	
YNR001W-A 	11 	10463 	
ATO2 	54 	48783 	
RPC34 	7 	637 	
YNR003W-A 	0 	0 	
SWM2 	38 	2527 	
YNR005C 	15 	633 	
VPS27 	49 	1678 	
ATG3 	46 	3818 	
LRO1 	123 	8864 	
NRM1 	46 	5732 	
CSE2 	16 	935 	
PRP2 	30 	1095 	
URK1 	61 	5784 	
PHO91 	129 	10214 	
YNR014W 	30 	1415 	
SMM1 	90 	13481 	
ACC1 	6 	84 	
TIM23 	9 	199 	
RCF2 	56 	4074 	
ARE2 	72 	4810 	
ATP23 	30 	2913 	
YNR021W 	53 	4254 	
MRPL50 	15 	924 	
SNF12 	5 	45 	
MPP6 	16 	266 	
YNR025C 	8 	22 	
SEC12 	19 	2032 	
BUD17 	42 	3075 	
CPR8 	47 	3051 	
YNR029C 	48 	1869 	
ALG12 	63 	3232 	
SSK2 	92 	4699 	
PPG1 	41 	2395 	
HUB1 	7 	319 	
ABZ1 	70 	7023 	
SOL1 	37 	2568 	
YNR034W-A 	9 	264 	
ARC35 	7 	338 	
MRPS12 	11 	168 	
RSM19 	10 	100 	
DBP6 	11 	74 	
ZRG17 	59 	2536 	
YNR040W 	36 	1414 	
COQ2 	29 	1431 	
YNR042W 	7 	370 	
MVD1 	1 	0 	
AGA1 	51 	3530 	
PET494 	46 	2473 	
TRM112 	8 	26 	
FPK1 	54 	3683 	
YNR048W 	38 	1788 	
MSO1 	26 	1362 	
LYS9 	40 	1424 	
BRE5 	34 	1157 	
POP2 	21 	322 	
NOG2 	3 	4 	
ESF2 	6 	22 	
HOL1 	42 	1611 	
BIO5 	43 	2480 	
BIO4 	36 	4496 	
BIO3 	41 	3305 	
MNT4 	45 	2545 	
FRE4 	70 	5659 	
YNR061C 	17 	959 	
YNR062C 	4 	165 	
YNR063W 	30 	1165 	
YNR064C 	27 	3233 	
YNR065C 	49 	2180 	
YNR066C 	26 	1022 	
DSE4 	62 	2409 	
YNR068C 	17 	250 	
BSC5 	16 	483 	
PDR18 	68 	3691 	
YNR071C 	41 	2476 	
HXT17 	27 	882 	
YNR073C 	24 	1842 	
AIF1 	15 	405 	
COS10 	23 	1525 	
YNR075C-A 	3 	163 	
PAU6 	0 	0 	
YNR077C 	1 	0 	
YOL166W-A 	1 	0 	
YOL166C 	2 	10 	
AAD15 	5 	38 	
YOL164W-A 	2 	4 	
BDS1 	50 	2603 	
YOL163W 	18 	904 	
YOL162W 	7 	267 	
PAU20 	4 	72 	
YOL160W 	7 	236 	
YOL159C-A 	8 	303 	
YOL159C 	9 	90 	
ENB1 	35 	1172 	
IMA2 	15 	310 	
HXT11 	13 	351 	
YOL155W-A 	0 	0 	
HPF1 	10 	101 	
ZPS1 	17 	399 	
FRE7 	40 	1523 	
GRE2 	8 	204 	
YOL150C 	3 	19 	
DCP1 	1 	0 	
SPT20 	15 	1299 	
PEX11 	11 	727 	
PSF3 	0 	0 	
CTR9 	22 	543 	
NOP8 	9 	36 	
RIB4 	0 	0 	
RRP40 	3 	165 	
PPM2 	38 	1777 	
ARG8 	27 	774 	
CDC33 	0 	0 	
RTC1 	69 	4635 	
BSC6 	32 	1286 	
PFK27 	17 	288 	
MED7 	3 	11 	
YOL134C 	9 	482 	
HRT1 	1 	0 	
GAS4 	35 	1910 	
YOL131W 	12 	516 	
ALR1 	12 	397 	
VPS68 	10 	220 	
YGK3 	31 	895 	
RPL25 	1 	0 	
MDH2 	24 	3693 	
TRM13 	46 	2023 	
TRM11 	17 	427 	
HRP1 	1 	0 	
SMF1 	45 	2459 	
RPS19A 	13 	657 	
RPL18A 	1 	0 	
MCH4 	33 	991 	
YOL118C 	13 	270 	
RRI2 	23 	1060 	
MSN1 	18 	517 	
PAP2 	17 	227 	
YOL114C 	19 	424 	
SKM1 	37 	1724 	
MSB4 	48 	2498 	
MDY2 	23 	1208 	
SHR5 	72 	5356 	
ZEO1 	1 	0 	
INO4 	5 	42 	
YOL107W 	27 	1432 	
YOL106W 	16 	111 	
WSC3 	21 	984 	
NDJ1 	16 	1174 	
ITR2 	39 	1421 	
TPT1 	0 	0 	
IZH4 	3 	110 	
PKH2 	25 	782 	
YOL099C 	6 	206 	
YOL098C 	48 	2445 	
YOL097W-A 	8 	1087 	
WRS1 	2 	1 	
COQ3 	10 	464 	
HMI1 	29 	841 	
RFC4 	0 	0 	
TRM10 	10 	244 	
YPQ1 	14 	412 	
SPO21 	24 	975 	
MSH2 	27 	872 	
HAL9 	40 	1731 	
MPD2 	16 	555 	
DUF1 	29 	887 	
MHF1 	10 	665 	
ADH1 	10 	68 	
YOL085W-A 	24 	1465 	
YOL085C 	35 	1881 	
PHM7 	72 	4641 	
ATG34 	41 	1309 	
YOL083C-A 	6 	106 	
ATG19 	27 	1570 	
IRA2 	57 	2151 	
REX4 	13 	958 	
YOL079W 	3 	105 	
AVO1 	31 	1066 	
ATP19 	5 	142 	
BRX1 	2 	7 	
MDM20 	6 	29 	
YOL075C 	62 	3582 	
YOL073C 	28 	777 	
THP1 	4 	24 	
EMI5 	19 	647 	
NBA1 	46 	2671 	
NUF2 	0 	0 	
HST1 	28 	1302 	
RTG1 	5 	8 	
RIB2 	18 	574 	
INP54 	24 	1504 	
MET22 	31 	1744 	
CRT10 	59 	2662 	
APM4 	24 	1452 	
PRS5 	61 	4002 	
MAM3 	102 	8755 	
GPD2 	41 	3193 	
ARG1 	62 	4150 	
YOL057W 	39 	2140 	
GPM3 	37 	1827 	
THI20 	43 	2334 	
PSH1 	40 	2001 	
AIM39 	53 	2981 	
DDR2 	2 	164 	
SPE2 	66 	2305 	
GAL11 	14 	340 	
YOL050C 	6 	132 	
GSH2 	26 	815 	
RRT8 	17 	888 	
LDS2 	28 	1059 	
YOL046C 	22 	2088 	
PSK2 	55 	4104 	
PEX15 	49 	1717 	
NTG2 	39 	1923 	
NGL1 	34 	1869 	
NOP12 	40 	1996 	
RPS15 	1 	0 	
RPP2A 	4 	68 	
YOL038C-A 	6 	211 	
PRE6 	1 	0 	
YOL037C 	11 	537 	
YOL036W 	41 	1839 	
YOL035C 	10 	384 	
SMC5 	5 	165 	
MSE1 	40 	1086 	
OPI10 	29 	1250 	
SIL1 	60 	5995 	
GAS5 	37 	2246 	
YOL029C 	20 	1291 	
YAP7 	19 	528 	
MDM38 	59 	4054 	
MIM1 	19 	565 	
LAG2 	72 	2737 	
YOL024W 	24 	1345 	
IFM1 	75 	3666 	
TSR4 	1 	0 	
DIS3 	7 	594 	
TAT2 	85 	4394 	
YOL019W-A 	9 	2249 	
YOL019W 	79 	5105 	
TLG2 	47 	2350 	
ESC8 	109 	5558 	
CMK2 	66 	4814 	
IRC10 	44 	2643 	
YOL014W 	11 	672 	
YOL013W-B 	7 	180 	
YOL013W-A 	10 	9352 	
HRD1 	60 	3181 	
HTZ1 	25 	802 	
PLB3 	139 	8576 	
RCL1 	6 	439 	
MDM12 	9 	53 	
COQ10 	52 	1756 	
CSI2 	60 	8110 	
TOP1 	119 	6549 	
RPB11 	1 	0 	
SIN3 	142 	6351 	
PFA4 	98 	8619 	
IZH2 	75 	15310 	
PHO80 	61 	4268 	
RRP6 	123 	10829 	
ALG6 	137 	9722 	
YSP3 	132 	27750 	
UTP23 	11 	276 	
DNL4 	215 	17044 	
TSR3 	82 	5892 	
SGT2 	75 	6628 	
SLG1 	17 	130 	
YOR008C-A 	15 	1004 	
YOR008W-B 	10 	328 	
TIR4 	31 	876 	
TIR2 	34 	1328 	
AUS1 	158 	12407 	
YOR011W-A 	19 	509 	
YOR012W 	24 	2598 	
IRC11 	34 	3768 	
RTS1 	57 	1610 	
YOR015W 	22 	491 	
ERP4 	37 	2859 	
PET127 	83 	7491 	
ROD1 	82 	3682 	
YOR019W 	97 	6377 	
HSP10 	2 	8 	
YOR020W-A 	8 	26 	
SFM1 	24 	1259 	
YOR022C 	78 	4111 	
AHC1 	44 	2144 	
YOR024W 	25 	4603 	
HST3 	55 	2942 	
BUB3 	43 	1531 	
STI1 	58 	3425 	
CIN5 	45 	1469 	
YOR029W 	21 	1578 	
DFG16 	67 	3697 	
CRS5 	25 	1233 	
HMS1 	32 	1429 	
YOR032W-A 	19 	784 	
EXO1 	77 	2630 	
AKR2 	72 	3608 	
YOR034C-A 	17 	1483 	
SHE4 	44 	2307 	
PEP12 	5 	13 	
CYC2 	50 	2152 	
HIR2 	72 	2493 	
CKB2 	12 	483 	
GLO4 	37 	4046 	
YOR041C 	19 	930 	
CUE5 	37 	1788 	
WHI2 	34 	2126 	
IRC23 	15 	434 	
TOM6 	5 	177 	
DBP5 	5 	13 	
STD1 	16 	610 	
RAT1 	0 	0 	
RSB1 	32 	2045 	
YOR050C 	28 	443 	
ETT1 	25 	1218 	
TMC1 	10 	511 	
YOR053W 	10 	32 	
VHS3 	52 	2122 	
YOR055W 	15 	706 	
NOB1 	23 	632 	
SGT1 	10 	290 	
ASE1 	47 	1473 	
LPL1 	33 	1058 	
SLD7 	19 	602 	
CKA2 	18 	590 	
YOR062C 	22 	730 	
RPL3 	4 	34 	
YNG1 	13 	571 	
CYT1 	16 	744 	
MSA1 	32 	2000 	
ALG8 	25 	693 	
VPS5 	26 	433 	
VAM10 	6 	126 	
GYP1 	30 	1038 	
NRT1 	39 	4123 	
YOR072W 	22 	545 	
YOR072W-A 	25 	5011 	
YOR072W-B 	14 	523 	
SGO1 	29 	1272 	
CDC21 	2 	10 	
YOR073W-A 	0 	0 	
UFE1 	0 	0 	
SKI7 	30 	1988 	
RTS2 	12 	441 	
BUD21 	11 	103 	
ATX2 	13 	872 	
DIA2 	21 	322 	
TGL5 	52 	2182 	
YOR082C 	13 	1091 	
WHI5 	37 	1334 	
LPX1 	60 	5919 	
OST3 	15 	501 	
TCB1 	49 	2462 	
YVC1 	43 	1806 	
VPS21 	3 	9 	
PTC5 	43 	1962 	
TMA46 	39 	4149 	
ECM3 	39 	2229 	
YOR093C 	50 	1769 	
ARF3 	3 	2 	
RKI1 	0 	0 	
RPS7A 	10 	130 	
YOR097C 	17 	569 	
NUP1 	22 	186 	
KTR1 	35 	2864 	
CRC1 	26 	787 	
RAS1 	15 	404 	
YOR102W 	2 	1 	
OST2 	0 	0 	
PIN2 	19 	428 	
YOR105W 	8 	285 	
VAM3 	15 	227 	
RGS2 	20 	1042 	
LEU9 	28 	1070 	
YOR108C-A 	4 	81 	
INP53 	46 	2313 	
TFC7 	12 	137 	
YOR111W 	8 	37 	
CEX1 	29 	941 	
AZF1 	25 	1516 	
YOR114W 	24 	951 	
TRS33 	12 	306 	
RPO31 	2 	1 	
RPT5 	0 	0 	
RTC5 	19 	1024 	
RIO1 	1 	0 	
GCY1 	17 	482 	
YOR121C 	10 	141 	
PFY1 	1 	0 	
LEO1 	37 	624 	
UBP2 	37 	788 	
CAT5 	9 	216 	
IAH1 	22 	1716 	
RGA1 	19 	313 	
ADE2 	29 	155669 	
AFI1 	36 	688 	
ORT1 	11 	486 	
YOR131C 	16 	638 	
VPS17 	23 	1150 	
EFT1 	4 	24 	
BAG7 	34 	4221 	
IRC14 	6 	15 	
IDH2 	16 	254 	
SIA1 	27 	839 	
RUP1 	66 	2249 	
YOR139C 	4 	40 	
SFL1 	32 	1058 	
ARP8 	22 	746 	
LSC1 	12 	436 	
THI80 	1 	0 	
ELG1 	27 	904 	
PNO1 	2 	1 	
YOR146W 	0 	0 	
MDM32 	9 	109 	
SPP2 	6 	76 	
SMP3 	0 	0 	
MRPL23 	6 	41 	
RPB2 	1 	0 	
YOR152C 	1 	0 	
PDR5 	46 	2022 	
SLP1 	21 	843 	
ISN1 	9 	103 	
NFI1 	36 	1913 	
PUP1 	2 	70 	
PET123 	12 	355 	
SME1 	2 	54 	
MTR10 	1 	0 	
PNS1 	33 	1654 	
YOR161W-A 	2 	3 	
YOR161W-B 	1 	0 	
YOR161C-C 	8 	180 	
YRR1 	46 	3256 	
DDP1 	17 	727 	
GET4 	16 	821 	
SEY1 	44 	1670 	
SWT1 	19 	1256 	
RPS28A 	2 	1 	
GLN4 	1 	0 	
YOR169C 	0 	0 	
YOR170W 	3 	7 	
LCB4 	18 	467 	
YRM1 	25 	1115 	
DCS2 	18 	1303 	
MED4 	8 	17 	
ALE1 	20 	543 	
HEM15 	5 	11 	
MPC54 	26 	1637 	
GAC1 	22 	469 	
SYC1 	9 	626 	
DCI1 	8 	79 	
LAS17 	7 	56 	
RPS30B 	5 	50 	
FYV12 	39 	728 	
SER1 	2 	4 	
GSP2 	12 	117 	
YOR186W 	19 	1340 	
YOR186C-A 	13 	543 	
TUF1 	7 	28 	
MSB1 	42 	2068 	
IES4 	2 	7 	
SPR1 	20 	888 	
ULS1 	32 	1724 	
THI72 	26 	1064 	
YOR192C-C 	1 	0 	
PEX27 	6 	141 	
TOA1 	0 	0 	
SLK19 	19 	257 	
LIP5 	17 	456 	
MCA1 	21 	471 	
BFR1 	4 	26 	
YOR199W 	13 	747 	
YOR200W 	8 	112 	
MRM1 	17 	374 	
HIS3 	10 	473 	
YOR203W 	12 	701 	
DED1 	3 	61 	
GEP3 	34 	1105 	
NOC2 	0 	0 	
RET1 	0 	0 	
PTP2 	8 	216 	
NPT1 	15 	554 	
RPB10 	0 	0 	
MGM1 	19 	529 	
STE4 	30 	1842 	
SAS5 	14 	774 	
SPR2 	14 	141 	
AIM41 	7 	293 	
RUD3 	9 	483 	
RFC1 	16 	313 	
YOR218C 	7 	95 	
STE13 	35 	1495 	
RCN2 	8 	39 	
MCT1 	27 	974 	
ODC2 	26 	2052 	
YOR223W 	15 	563 	
RPB8 	1 	0 	
YOR225W 	11 	542 	
ISU2 	10 	510 	
HER1 	36 	1603 	
MCP1 	20 	657 	
WTM2 	53 	3743 	
WTM1 	23 	1239 	
MKK1 	26 	588 	
YOR231C-A 	3 	3 	
MGE1 	1 	0 	
KIN4 	36 	3408 	
RPL33B 	7 	264 	
IRC13 	13 	83 	
DFR1 	1 	0 	
HES1 	22 	392 	
YOR238W 	24 	587 	
ABP140 	21 	447 	
MET7 	15 	534 	
SSP2 	18 	344 	
PUS7 	21 	758 	
ESA1 	1 	0 	
DGA1 	13 	452 	
ENV9 	36 	1600 	
SRL1 	3 	54 	
YOR248W 	1 	0 	
APC5 	0 	0 	
CLP1 	1 	0 	
TUM1 	20 	625 	
TMA16 	8 	200 	
NAT5 	12 	452 	
SEC63 	2 	1 	
OSW1 	9 	237 	
TRE2 	7 	400 	
CDC31 	0 	0 	
HNT3 	6 	11 	
RPT4 	3 	8 	
GCD1 	4 	4 	
RPN8 	0 	0 	
GPN2 	0 	0 	
YOR263C 	6 	63 	
DSE3 	25 	590 	
RBL2 	3 	13 	
PNT1 	19 	806 	
HRK1 	18 	1298 	
YOR268C 	31 	3440 	
PAC1 	28 	1051 	
VPH1 	6 	134 	
FSF1 	12 	342 	
YTM1 	0 	0 	
TPO4 	39 	2872 	
MOD5 	37 	1264 	
RIM20 	15 	399 	
CAF20 	8 	318 	
YOR277C 	7 	312 	
HEM4 	1 	0 	
RFM1 	12 	508 	
FSH3 	5 	79 	
PLP2 	3 	18 	
YOR282W 	13 	1047 	
YOR283W 	15 	302 	
HUA2 	8 	18 	
RDL1 	9 	303 	
RDL2 	12 	359 	
RRP36 	3 	5 	
MPD1 	5 	30 	
YOR289W 	22 	321 	
SNF2 	26 	1005 	
YPK9 	46 	1795 	
YOR292C 	21 	531 	
RPS10A 	7 	77 	
YOR293C-A 	3 	53 	
RRS1 	0 	0 	
UAF30 	13 	284 	
YOR296W 	55 	1799 	
TIM18 	7 	104 	
MUM3 	27 	1069 	
MBF1 	8 	409 	
BUD7 	23 	869 	
YOR300W 	14 	507 	
RAX1 	54 	4841 	
YOR302W 	5 	5 	
CPA1 	24 	1382 	
ISW2 	25 	686 	
BIL1 	2 	1 	
RRG7 	6 	11 	
MCH5 	31 	1785 	
SLY41 	16 	200 	
SNU66 	15 	483 	
YOR309C 	1 	0 	
NOP58 	0 	0 	
DGK1 	7 	176 	
RPL20B 	3 	32 	
SPS4 	9 	242 	
YOR314W 	3 	15 	
YOR314W-A 	1 	0 	
SFG1 	24 	596 	
COT1 	27 	1652 	
YOR316C-A 	20 	1597 	
FAA1 	31 	1504 	
YOR318C 	26 	1522 	
HSH49 	1 	0 	
GNT1 	21 	850 	
PMT3 	42 	2426 	
LDB19 	22 	841 	
PRO2 	1 	0 	
FRT1 	24 	1054 	
YOR325W 	9 	580 	
MYO2 	10 	205 	
SNC2 	8 	157 	
PDR10 	60 	2226 	
SCD5 	7 	145 	
YOR329W-A 	3 	130 	
MIP1 	41 	1058 	
YOR331C 	7 	198 	
VMA4 	1 	0 	
YOR333C 	2 	6 	
MRS2 	13 	161 	
ALA1 	1 	0 	
YOR335W-A 	0 	0 	
KRE5 	3 	2 	
TEA1 	36 	1055 	
YOR338W 	20 	1162 	
UBC11 	3 	21 	
RPA43 	2 	1 	
RPA190 	1 	0 	
YOR342C 	29 	1230 	
YOR343C 	26 	1829 	
TYE7 	5 	148 	
YOR345C 	6 	66 	
REV1 	39 	1455 	
PYK2 	15 	454 	
PUT4 	186 	22169 	
CIN1 	94 	5484 	
MNE1 	29 	679 	
MEK1 	14 	282 	
TFB6 	20 	687 	
SOG2 	10 	440 	
MSC6 	15 	199 	
GDS1 	19 	905 	
CIR2 	29 	784 	
SNX3 	14 	855 	
HAP5 	26 	1399 	
VTS1 	18 	699 	
PDE2 	13 	476 	
PRT1 	10 	265 	
PRE10 	3 	28 	
PIP2 	33 	1561 	
YOR364W 	14 	475 	
YOR365C 	29 	888 	
YOR366W 	10 	74 	
SCP1 	11 	241 	
RAD17 	13 	779 	
RPS12 	1 	0 	
MRS6 	4 	12 	
GPB1 	56 	2570 	
NDD1 	8 	196 	
NUD1 	2 	1 	
ALD4 	30 	536 	
GDH1 	23 	1061 	
YOR376W 	19 	660 	
YOR376W-A 	1 	0 	
ATF1 	24 	1080 	
AMF1 	33 	3784 	
YOR379C 	21 	3115 	
RDR1 	37 	1749 	
FRE3 	36 	1500 	
YOR381W-A 	6 	105 	
FIT2 	5 	22 	
FIT3 	7 	205 	
FRE5 	33 	909 	
YOR385W 	18 	1030 	
PHR1 	16 	1567 	
YOR387C 	10 	194 	
FDH1 	2 	31 	
YOR389W 	20 	980 	
FEX1 	6 	20 	
HSP33 	4 	88 	
YOR392W 	11 	39 	
ERR1 	0 	0 	
PAU21 	0 	0 	
YOR394C-A 	7 	683 	
YRF1-8 	0 	0 	
YOR396C-A 	0 	0 	
YRF1-7 	0 	0 	
YPL283W-B 	0 	0 	
YPL283W-A 	0 	0 	
PAU22 	1 	0 	
ERR2 	1 	0 	
HSP32 	0 	0 	
FEX2 	2 	1 	
YPL278C 	0 	0 	
YPL277C 	28 	1429 	
SAM3 	25 	770 	
SAM4 	5 	126 	
PBI1 	11 	90 	
ATP15 	0 	0 	
MDL2 	42 	1212 	
KAR9 	34 	1565 	
PLC1 	4 	41 	
ACM1 	12 	413 	
DIM1 	0 	0 	
DIP5 	36 	1420 	
YPL264C 	16 	307 	
KEL3 	55 	2614 	
FUM1 	21 	1553 	
YPL261C 	16 	361 	
YPL260W 	13 	826 	
APM1 	14 	568 	
THI21 	59 	5683 	
YPL257W 	15 	912 	
CLN2 	26 	869 	
BBP1 	3 	6 	
HFI1 	11 	465 	
VIK1 	49 	3996 	
YAH1 	0 	0 	
YPL251W 	0 	0 	
ICY2 	4 	226 	
RPL36B 	7 	37 	
YPL250W-A 	4 	27 	
GYP5 	39 	2152 	
GAL4 	2 	17 	
YPL247C 	42 	1388 	
RBD2 	15 	466 	
YPL245W 	32 	1614 	
HUT1 	11 	858 	
SRP68 	0 	0 	
IQG1 	18 	316 	
CIN2 	8 	230 	
HSP82 	21 	514 	
YAR1 	17 	160 	
