gene_name	number_of_transposon_per_gene	number_of_read_pergene
YDL071C 	20 	747 	
BDF2 	29 	751 	
CBS1 	13 	273 	
YDL068W 	6 	15 	
COX9 	8 	266 	
IDP1 	29 	2090 	
PEX19 	28 	1392 	
UBC9 	0 	0 	
SYO1 	29 	799 	
YDL062W 	8 	144 	
RPS29B 	6 	31 	
TSR1 	3 	15 	
RAD59 	21 	718 	
USO1 	33 	739 	
YDL057W 	26 	1657 	
MBP1 	49 	2996 	
PSA1 	4 	19 	
MCH1 	63 	5608 	
PBP4 	17 	360 	
SLC1 	40 	3455 	
LHP1 	28 	980 	
YDL050C 	10 	402 	
KNH1 	42 	2292 	
STP4 	49 	2453 	
SIT4 	6 	94 	
NPC2 	22 	752 	
MRP10 	4 	44 	
FAD1 	1 	0 	
MTF2 	25 	716 	
PRP11 	3 	24 	
SIR2 	65 	2989 	
YDL041W 	20 	1381 	
NAT1 	46 	1656 	
PRM7 	25 	1236 	
BSC1 	26 	835 	
PUS9 	37 	1677 	
GPR1 	43 	1109 	
YDL034W 	10 	67 	
SLM3 	46 	3180 	
YDL032W 	8 	90 	
DBP10 	9 	11 	
PRP9 	3 	4 	
ARP2 	0 	0 	
MPS1 	9 	141 	
YDL027C 	24 	1513 	
YDL026W 	4 	26 	
RTK1 	30 	992 	
YDL025W-A 	1 	0 	
DIA3 	51 	3928 	
YDL022C-A 	19 	680 	
YDL023C 	13 	441 	
GPD1 	57 	3841 	
GPM2 	52 	2170 	
RPN4 	61 	2288 	
OSH2 	131 	15868 	
ERP3 	23 	807 	
CDC7 	7 	65 	
YDL016C 	12 	160 	
TSC13 	0 	0 	
NOP1 	0 	0 	
SLX5 	28 	458 	
YDL012C 	27 	1852 	
YDL011C 	20 	1240 	
