Gene name	Number of transposons per gene	Number of reads per gene
GIP3	99	4075
YPL142C	4	19
RPL33A	7	93
NOP53	16	136
PRP46	28	1286
RAD53	39	644
CDC60	22	517
MEX67	16	488
SPT14	27	613
NAB3	23	596
TPK2	31	847
HRR25	35	666
TYW1	48	1591
IPL1	12	173
SRP72	15	202
NIP7	8	91
BMS1	29	656
SAR1	8	21
CET1	16	261
FAS2	47	1154
NSL1	12	151
RVB2	28	374
SUI3	4	5
YPL238C	1	0
IQG1	37	727
SRP68	7	42
YPL251W	4	15
YAH1	10	119
BBP1	13	161
DIM1	15	304
RPA135	35	1236
TIF6	5	104
MCM4	37	1121
CCL1	14	148
HTS1	18	398
ARP7	15	290
GLN1	28	600
TIP41	35	770
TIF5	17	397
TAH18	15	389
SEC8	45	996
TFB4	13	186
DIB1	16	520
ASA1	4	15
SUA7	14	242
SRP54	19	503
RDS3	5	12
PRE2	14	320
FHL1	32	548
COG4	29	619
YTH1	13	466
RPN7	5	75
RPC40	11	185
DBF20	42	1239
MRD1	26	401
PIS1	11	190
CLB5	24	386
CTR1	46	1178
YLH47	41	2026
SPN1	12	101
YPR136C	4	24
RRP9	16	370
YPR142C	39	1182
RRP15	15	258
NOC4	20	338
SGV1	42	1065
ORC4	7	61
RHO1	3	7
NUT2	10	226
JIP5	23	482
DPB2	22	494
BET2	11	86
YPR177C	18	643
PRP4	38	1141
AOS1	4	6
SEC23	32	476
SMX3	0	0
DPM1	12	229
PZF1	12	206
RPO26	9	117
RPC82	19	878
